shift_id,people_id,county_id,scheduled_start,scheduled_end
6869,287,4,2026-05-01 09:00:00,2026-05-01 19:00:00
4270,189,6,2026-06-03 08:00:00,2026-06-03 16:00:00
464,248,4,2026-05-16 06:00:00,2026-05-16 16:00:00
2841,37,1,2026-04-04 09:00:00,2026-04-04 19:00:00
459,216,7,2026-04-06 09:00:00,2026-04-06 19:00:00
6954,162,5,2026-05-06 08:00:00,2026-05-06 16:00:00
1796,32,8,2026-04-29 09:00:00,2026-04-29 17:00:00
6896,295,7,2026-04-04 06:00:00,2026-04-04 18:00:00
2777,97,5,2026-06-25 09:00:00,2026-06-25 17:00:00
3396,251,5,2026-05-15 08:00:00,2026-05-15 16:00:00
5171,65,1,2026-04-09 07:00:00,2026-04-09 19:00:00
1872,181,1,2026-04-03 07:00:00,2026-04-03 15:00:00
605,112,1,2026-06-07 09:00:00,2026-06-07 19:00:00
5281,129,5,2026-06-03 10:00:00,2026-06-03 18:00:00
1302,17,2,2026-05-25 09:00:00,2026-05-25 17:00:00
1282,126,6,2026-06-09 06:00:00,2026-06-09 18:00:00
681,35,10,2026-04-25 08:00:00,2026-04-25 18:00:00
3596,113,10,2026-06-10 07:00:00,2026-06-10 17:00:00
2445,265,10,2026-04-29 06:00:00,2026-04-29 14:00:00
6908,67,7,2026-05-13 06:00:00,2026-05-13 14:00:00
6261,197,10,2026-06-19 08:00:00,2026-06-19 18:00:00
1595,266,6,2026-06-29 09:00:00,2026-06-29 17:00:00
208,252,7,2026-04-06 09:00:00,2026-04-06 21:00:00
2345,207,2,2026-06-25 09:00:00,2026-06-25 21:00:00
5611,174,8,2026-06-13 06:00:00,2026-06-13 18:00:00
380,219,2,2026-04-04 07:00:00,2026-04-04 19:00:00
3898,42,7,2026-06-20 10:00:00,2026-06-20 20:00:00
841,88,3,2026-05-12 07:00:00,2026-05-12 19:00:00
5914,59,10,2026-04-30 08:00:00,2026-04-30 20:00:00
6851,87,3,2026-05-14 07:00:00,2026-05-14 13:00:00
1885,69,8,2026-04-25 07:00:00,2026-04-25 19:00:00
682,177,4,2026-06-24 09:00:00,2026-06-24 19:00:00
2787,209,8,2026-06-10 10:00:00,2026-06-10 22:00:00
1724,183,3,2026-06-23 06:00:00,2026-06-23 12:00:00
5347,35,8,2026-05-19 07:00:00,2026-05-19 17:00:00
3867,139,4,2026-04-08 10:00:00,2026-04-08 22:00:00
6668,202,1,2026-05-13 10:00:00,2026-05-13 16:00:00
1929,231,1,2026-06-17 10:00:00,2026-06-17 22:00:00
6492,244,10,2026-06-20 07:00:00,2026-06-20 15:00:00
6553,119,5,2026-06-14 09:00:00,2026-06-14 19:00:00
3299,91,4,2026-06-14 06:00:00,2026-06-14 16:00:00
473,85,1,2026-06-14 10:00:00,2026-06-14 18:00:00
2195,2,8,2026-06-01 10:00:00,2026-06-01 22:00:00
3176,282,9,2026-05-05 10:00:00,2026-05-05 18:00:00
5508,47,1,2026-04-10 09:00:00,2026-04-10 19:00:00
5366,27,3,2026-05-01 10:00:00,2026-05-01 20:00:00
622,66,5,2026-06-20 08:00:00,2026-06-20 18:00:00
2511,257,8,2026-05-27 09:00:00,2026-05-27 15:00:00
947,173,2,2026-05-17 07:00:00,2026-05-17 15:00:00
4474,270,8,2026-04-24 09:00:00,2026-04-24 21:00:00
1344,278,3,2026-06-05 08:00:00,2026-06-05 20:00:00
4297,193,4,2026-04-12 09:00:00,2026-04-12 15:00:00
2016,155,3,2026-05-29 07:00:00,2026-05-29 19:00:00
3470,165,3,2026-04-14 07:00:00,2026-04-14 13:00:00
5052,98,8,2026-05-20 07:00:00,2026-05-20 19:00:00
2612,150,4,2026-04-12 10:00:00,2026-04-12 16:00:00
3151,295,7,2026-05-29 07:00:00,2026-05-29 13:00:00
3003,211,8,2026-04-14 09:00:00,2026-04-14 15:00:00
6716,230,5,2026-05-15 10:00:00,2026-05-15 22:00:00
1624,204,5,2026-06-05 08:00:00,2026-06-05 20:00:00
4864,51,7,2026-06-05 10:00:00,2026-06-05 22:00:00
2549,85,8,2026-05-01 06:00:00,2026-05-01 14:00:00
2378,74,6,2026-05-02 07:00:00,2026-05-02 13:00:00
5718,129,3,2026-05-13 07:00:00,2026-05-13 19:00:00
2656,248,6,2026-06-07 09:00:00,2026-06-07 15:00:00
3893,289,5,2026-04-01 06:00:00,2026-04-01 14:00:00
3475,157,7,2026-05-20 10:00:00,2026-05-20 22:00:00
2814,273,4,2026-05-25 06:00:00,2026-05-25 16:00:00
4051,221,4,2026-06-17 08:00:00,2026-06-17 14:00:00
3424,131,8,2026-04-22 07:00:00,2026-04-22 13:00:00
4876,216,2,2026-04-08 10:00:00,2026-04-08 16:00:00
6911,19,4,2026-06-13 06:00:00,2026-06-13 14:00:00
4913,296,8,2026-06-09 08:00:00,2026-06-09 14:00:00
3955,20,10,2026-06-18 06:00:00,2026-06-18 18:00:00
498,88,1,2026-06-25 10:00:00,2026-06-25 16:00:00
3537,69,10,2026-04-07 07:00:00,2026-04-07 15:00:00
5405,142,10,2026-05-01 07:00:00,2026-05-01 13:00:00
4370,69,2,2026-05-14 10:00:00,2026-05-14 20:00:00
6440,218,8,2026-04-21 08:00:00,2026-04-21 16:00:00
4904,185,7,2026-06-04 08:00:00,2026-06-04 14:00:00
2081,186,9,2026-04-22 07:00:00,2026-04-22 19:00:00
5318,264,4,2026-05-21 10:00:00,2026-05-21 18:00:00
1685,231,8,2026-04-03 10:00:00,2026-04-03 20:00:00
1517,119,2,2026-04-07 07:00:00,2026-04-07 19:00:00
878,158,8,2026-06-13 09:00:00,2026-06-13 15:00:00
2059,81,8,2026-06-21 09:00:00,2026-06-21 15:00:00
2278,53,2,2026-04-30 07:00:00,2026-04-30 17:00:00
4657,247,9,2026-04-22 10:00:00,2026-04-22 20:00:00
2671,4,7,2026-05-05 08:00:00,2026-05-05 16:00:00
3202,177,1,2026-05-01 08:00:00,2026-05-01 18:00:00
6628,62,5,2026-04-14 08:00:00,2026-04-14 16:00:00
3755,221,10,2026-05-02 06:00:00,2026-05-02 14:00:00
3678,105,5,2026-05-30 10:00:00,2026-05-30 20:00:00
6547,9,10,2026-04-18 06:00:00,2026-04-18 18:00:00
1993,18,4,2026-06-05 10:00:00,2026-06-05 18:00:00
3428,230,9,2026-06-16 08:00:00,2026-06-16 18:00:00
2644,153,6,2026-04-03 07:00:00,2026-04-03 15:00:00
3342,104,2,2026-04-06 08:00:00,2026-04-06 16:00:00
2390,230,4,2026-06-14 09:00:00,2026-06-14 15:00:00
3922,41,1,2026-05-19 07:00:00,2026-05-19 15:00:00
5520,237,1,2026-04-01 07:00:00,2026-04-01 15:00:00
1592,37,3,2026-06-20 06:00:00,2026-06-20 16:00:00
5472,296,5,2026-04-02 10:00:00,2026-04-02 22:00:00
501,188,3,2026-04-04 06:00:00,2026-04-04 12:00:00
5925,132,8,2026-06-23 08:00:00,2026-06-23 18:00:00
5207,78,4,2026-05-12 10:00:00,2026-05-12 20:00:00
2747,269,7,2026-05-31 09:00:00,2026-05-31 21:00:00
5057,256,8,2026-05-23 10:00:00,2026-05-23 22:00:00
5735,191,4,2026-05-04 06:00:00,2026-05-04 16:00:00
4025,170,5,2026-05-05 08:00:00,2026-05-05 18:00:00
6020,82,2,2026-06-21 08:00:00,2026-06-21 16:00:00
3439,71,2,2026-05-08 09:00:00,2026-05-08 19:00:00
3982,160,5,2026-04-09 08:00:00,2026-04-09 18:00:00
5323,228,2,2026-06-22 07:00:00,2026-06-22 19:00:00
2513,257,1,2026-05-05 08:00:00,2026-05-05 20:00:00
2627,223,2,2026-05-11 08:00:00,2026-05-11 20:00:00
1527,226,5,2026-06-02 07:00:00,2026-06-02 15:00:00
4145,120,2,2026-04-09 09:00:00,2026-04-09 21:00:00
1318,6,9,2026-04-24 10:00:00,2026-04-24 16:00:00
2704,201,7,2026-06-04 10:00:00,2026-06-04 16:00:00
741,275,2,2026-05-15 07:00:00,2026-05-15 15:00:00
6347,292,2,2026-04-06 09:00:00,2026-04-06 15:00:00
6525,262,8,2026-04-18 10:00:00,2026-04-18 16:00:00
2905,34,6,2026-06-08 09:00:00,2026-06-08 15:00:00
888,244,10,2026-04-04 06:00:00,2026-04-04 14:00:00
6216,243,1,2026-06-13 08:00:00,2026-06-13 20:00:00
2651,92,6,2026-06-11 06:00:00,2026-06-11 14:00:00
3175,60,1,2026-05-18 09:00:00,2026-05-18 17:00:00
5788,273,3,2026-06-14 10:00:00,2026-06-14 22:00:00
4461,61,3,2026-05-31 09:00:00,2026-05-31 15:00:00
3852,222,10,2026-05-05 10:00:00,2026-05-05 20:00:00
1808,149,9,2026-05-12 09:00:00,2026-05-12 15:00:00
1888,112,9,2026-04-28 10:00:00,2026-04-28 20:00:00
1578,85,1,2026-05-21 09:00:00,2026-05-21 19:00:00
6187,49,6,2026-05-19 06:00:00,2026-05-19 18:00:00
5570,136,4,2026-04-01 06:00:00,2026-04-01 14:00:00
740,194,2,2026-04-01 07:00:00,2026-04-01 19:00:00
2500,22,2,2026-05-04 07:00:00,2026-05-04 15:00:00
187,105,1,2026-04-06 06:00:00,2026-04-06 18:00:00
1717,6,8,2026-04-23 06:00:00,2026-04-23 14:00:00
6706,6,3,2026-04-04 06:00:00,2026-04-04 14:00:00
6969,40,7,2026-05-16 07:00:00,2026-05-16 19:00:00
1210,164,6,2026-04-16 09:00:00,2026-04-16 17:00:00
4280,263,4,2026-06-01 07:00:00,2026-06-01 17:00:00
5026,223,9,2026-04-09 09:00:00,2026-04-09 21:00:00
3325,265,10,2026-06-15 07:00:00,2026-06-15 15:00:00
5944,57,9,2026-06-07 10:00:00,2026-06-07 20:00:00
6049,179,9,2026-05-26 06:00:00,2026-05-26 14:00:00
6469,80,10,2026-06-24 09:00:00,2026-06-24 17:00:00
4195,71,2,2026-04-02 07:00:00,2026-04-02 15:00:00
130,81,1,2026-06-29 07:00:00,2026-06-29 19:00:00
5838,147,5,2026-05-12 08:00:00,2026-05-12 16:00:00
3657,204,1,2026-04-27 08:00:00,2026-04-27 14:00:00
956,38,8,2026-04-19 06:00:00,2026-04-19 12:00:00
3556,198,2,2026-04-01 08:00:00,2026-04-01 20:00:00
6637,142,1,2026-06-01 08:00:00,2026-06-01 16:00:00
1736,165,9,2026-05-06 10:00:00,2026-05-06 22:00:00
949,8,2,2026-05-02 07:00:00,2026-05-02 17:00:00
1183,68,9,2026-05-15 10:00:00,2026-05-15 16:00:00
2406,37,4,2026-05-03 06:00:00,2026-05-03 16:00:00
1168,110,5,2026-06-20 10:00:00,2026-06-20 22:00:00
1222,257,7,2026-04-16 09:00:00,2026-04-16 17:00:00
5036,202,3,2026-05-04 09:00:00,2026-05-04 19:00:00
5653,188,4,2026-05-10 07:00:00,2026-05-10 15:00:00
6316,84,2,2026-05-25 06:00:00,2026-05-25 14:00:00
38,85,10,2026-06-11 07:00:00,2026-06-11 17:00:00
2844,19,9,2026-06-25 10:00:00,2026-06-25 18:00:00
2327,111,3,2026-05-12 06:00:00,2026-05-12 16:00:00
4607,184,8,2026-05-25 08:00:00,2026-05-25 18:00:00
2768,238,1,2026-04-26 09:00:00,2026-04-26 21:00:00
6982,54,5,2026-04-14 06:00:00,2026-04-14 14:00:00
559,234,1,2026-06-15 07:00:00,2026-06-15 13:00:00
1231,259,8,2026-04-13 09:00:00,2026-04-13 19:00:00
292,110,6,2026-04-01 07:00:00,2026-04-01 15:00:00
1591,274,4,2026-05-06 08:00:00,2026-05-06 20:00:00
369,95,10,2026-04-12 10:00:00,2026-04-12 18:00:00
4673,205,3,2026-06-17 07:00:00,2026-06-17 13:00:00
5721,198,3,2026-04-15 07:00:00,2026-04-15 13:00:00
3300,298,9,2026-04-19 07:00:00,2026-04-19 19:00:00
4290,123,6,2026-06-22 10:00:00,2026-06-22 18:00:00
4839,84,2,2026-06-23 10:00:00,2026-06-23 22:00:00
4312,210,8,2026-04-29 09:00:00,2026-04-29 17:00:00
5271,204,1,2026-06-13 08:00:00,2026-06-13 18:00:00
4275,69,6,2026-04-01 10:00:00,2026-04-01 20:00:00
3263,288,3,2026-05-11 08:00:00,2026-05-11 14:00:00
5803,221,9,2026-06-27 07:00:00,2026-06-27 15:00:00
960,87,8,2026-05-03 10:00:00,2026-05-03 18:00:00
5672,107,2,2026-04-01 09:00:00,2026-04-01 19:00:00
6430,231,5,2026-05-16 07:00:00,2026-05-16 17:00:00
381,254,6,2026-06-16 07:00:00,2026-06-16 13:00:00
2039,174,10,2026-05-23 08:00:00,2026-05-23 20:00:00
6082,76,8,2026-04-19 08:00:00,2026-04-19 18:00:00
627,136,9,2026-04-03 08:00:00,2026-04-03 18:00:00
4292,285,4,2026-04-21 09:00:00,2026-04-21 17:00:00
4563,113,6,2026-05-14 06:00:00,2026-05-14 14:00:00
6738,147,10,2026-04-23 07:00:00,2026-04-23 19:00:00
1081,209,2,2026-04-09 06:00:00,2026-04-09 18:00:00
1113,57,6,2026-05-14 06:00:00,2026-05-14 12:00:00
5991,238,4,2026-05-10 10:00:00,2026-05-10 16:00:00
3505,214,5,2026-04-21 10:00:00,2026-04-21 22:00:00
3689,110,3,2026-04-30 08:00:00,2026-04-30 18:00:00
2467,252,7,2026-06-25 07:00:00,2026-06-25 19:00:00
2598,231,6,2026-05-07 06:00:00,2026-05-07 18:00:00
2368,12,4,2026-06-18 07:00:00,2026-06-18 13:00:00
3340,290,3,2026-05-18 10:00:00,2026-05-18 20:00:00
1238,107,7,2026-06-24 10:00:00,2026-06-24 16:00:00
3425,234,9,2026-06-14 06:00:00,2026-06-14 18:00:00
6125,132,2,2026-05-28 09:00:00,2026-05-28 17:00:00
6631,297,4,2026-05-31 07:00:00,2026-05-31 17:00:00
1358,290,9,2026-05-23 07:00:00,2026-05-23 15:00:00
5765,255,9,2026-05-18 07:00:00,2026-05-18 19:00:00
5841,132,5,2026-05-30 10:00:00,2026-05-30 20:00:00
4048,112,7,2026-04-02 10:00:00,2026-04-02 22:00:00
2518,115,6,2026-05-01 06:00:00,2026-05-01 18:00:00
2910,290,8,2026-05-03 06:00:00,2026-05-03 18:00:00
607,73,1,2026-06-20 09:00:00,2026-06-20 15:00:00
1196,90,5,2026-04-28 10:00:00,2026-04-28 16:00:00
146,81,8,2026-06-14 07:00:00,2026-06-14 19:00:00
1035,226,10,2026-05-08 09:00:00,2026-05-08 15:00:00
461,87,4,2026-05-15 09:00:00,2026-05-15 15:00:00
1812,111,6,2026-05-24 08:00:00,2026-05-24 14:00:00
1752,198,1,2026-06-27 06:00:00,2026-06-27 12:00:00
1206,210,3,2026-05-20 10:00:00,2026-05-20 18:00:00
63,207,10,2026-06-19 08:00:00,2026-06-19 14:00:00
111,50,5,2026-04-11 07:00:00,2026-04-11 13:00:00
5981,89,9,2026-05-25 08:00:00,2026-05-25 18:00:00
1554,220,3,2026-05-12 09:00:00,2026-05-12 21:00:00
104,129,10,2026-06-22 06:00:00,2026-06-22 18:00:00
3500,226,2,2026-06-18 09:00:00,2026-06-18 19:00:00
4511,275,3,2026-05-18 06:00:00,2026-05-18 14:00:00
2943,212,9,2026-05-08 09:00:00,2026-05-08 21:00:00
2117,31,7,2026-04-20 08:00:00,2026-04-20 18:00:00
3822,236,1,2026-05-29 06:00:00,2026-05-29 16:00:00
6695,255,5,2026-05-29 09:00:00,2026-05-29 15:00:00
4218,235,3,2026-05-07 10:00:00,2026-05-07 18:00:00
1388,17,9,2026-06-09 09:00:00,2026-06-09 17:00:00
6910,109,7,2026-04-23 08:00:00,2026-04-23 18:00:00
274,185,10,2026-04-10 07:00:00,2026-04-10 19:00:00
89,3,6,2026-05-14 06:00:00,2026-05-14 18:00:00
289,262,8,2026-06-17 06:00:00,2026-06-17 12:00:00
257,245,2,2026-04-27 10:00:00,2026-04-27 16:00:00
4017,217,8,2026-04-03 08:00:00,2026-04-03 16:00:00
1802,122,3,2026-04-20 09:00:00,2026-04-20 21:00:00
1253,208,9,2026-05-06 07:00:00,2026-05-06 13:00:00
2412,132,4,2026-06-02 06:00:00,2026-06-02 14:00:00
6231,196,4,2026-05-26 08:00:00,2026-05-26 20:00:00
5965,98,3,2026-04-08 08:00:00,2026-04-08 14:00:00
6450,152,3,2026-05-28 09:00:00,2026-05-28 15:00:00
5620,204,7,2026-05-02 10:00:00,2026-05-02 20:00:00
5212,277,4,2026-04-14 09:00:00,2026-04-14 17:00:00
2855,177,3,2026-06-28 08:00:00,2026-06-28 14:00:00
4468,289,10,2026-06-11 10:00:00,2026-06-11 18:00:00
2928,160,1,2026-04-17 10:00:00,2026-04-17 20:00:00
490,159,8,2026-05-08 10:00:00,2026-05-08 18:00:00
2225,49,10,2026-04-22 08:00:00,2026-04-22 14:00:00
3993,171,4,2026-06-12 06:00:00,2026-06-12 18:00:00
4020,183,4,2026-04-21 08:00:00,2026-04-21 14:00:00
392,274,5,2026-05-23 08:00:00,2026-05-23 20:00:00
5533,260,10,2026-05-23 07:00:00,2026-05-23 13:00:00
522,283,8,2026-06-19 06:00:00,2026-06-19 16:00:00
3067,265,5,2026-04-19 10:00:00,2026-04-19 22:00:00
6708,54,7,2026-05-14 09:00:00,2026-05-14 21:00:00
702,96,1,2026-05-15 06:00:00,2026-05-15 12:00:00
6846,103,5,2026-05-07 07:00:00,2026-05-07 13:00:00
2483,11,9,2026-06-06 08:00:00,2026-06-06 20:00:00
5360,60,5,2026-06-09 08:00:00,2026-06-09 18:00:00
6363,282,2,2026-05-12 09:00:00,2026-05-12 15:00:00
596,113,6,2026-04-01 08:00:00,2026-04-01 14:00:00
1839,56,7,2026-04-17 10:00:00,2026-04-17 20:00:00
1545,105,6,2026-05-07 10:00:00,2026-05-07 18:00:00
2213,208,9,2026-06-17 10:00:00,2026-06-17 22:00:00
4611,234,8,2026-05-21 09:00:00,2026-05-21 21:00:00
3837,36,3,2026-06-02 10:00:00,2026-06-02 18:00:00
2353,13,5,2026-06-27 10:00:00,2026-06-27 18:00:00
2350,151,2,2026-04-23 09:00:00,2026-04-23 19:00:00
2207,272,1,2026-06-27 09:00:00,2026-06-27 15:00:00
5356,155,4,2026-04-26 08:00:00,2026-04-26 20:00:00
3315,115,2,2026-04-06 06:00:00,2026-04-06 18:00:00
2693,153,2,2026-05-09 07:00:00,2026-05-09 17:00:00
2125,81,1,2026-04-12 09:00:00,2026-04-12 21:00:00
3352,151,8,2026-04-23 09:00:00,2026-04-23 21:00:00
1461,281,5,2026-04-10 10:00:00,2026-04-10 16:00:00
3810,36,2,2026-05-17 06:00:00,2026-05-17 14:00:00
815,19,5,2026-04-24 07:00:00,2026-04-24 13:00:00
6942,108,3,2026-06-11 07:00:00,2026-06-11 17:00:00
4560,33,9,2026-06-29 06:00:00,2026-06-29 14:00:00
5582,44,8,2026-06-07 08:00:00,2026-06-07 20:00:00
2241,86,5,2026-04-01 06:00:00,2026-04-01 14:00:00
3332,284,1,2026-06-08 10:00:00,2026-06-08 22:00:00
1638,79,6,2026-04-16 08:00:00,2026-04-16 20:00:00
3158,148,4,2026-05-23 09:00:00,2026-05-23 15:00:00
886,40,9,2026-04-14 06:00:00,2026-04-14 16:00:00
5747,124,9,2026-04-14 10:00:00,2026-04-14 16:00:00
1558,3,9,2026-05-05 08:00:00,2026-05-05 16:00:00
6847,80,5,2026-04-04 06:00:00,2026-04-04 18:00:00
4841,20,5,2026-05-19 07:00:00,2026-05-19 19:00:00
5293,146,5,2026-05-20 09:00:00,2026-05-20 19:00:00
4072,69,4,2026-05-04 10:00:00,2026-05-04 16:00:00
6931,224,5,2026-05-12 10:00:00,2026-05-12 20:00:00
4681,240,3,2026-05-06 08:00:00,2026-05-06 18:00:00
5257,41,6,2026-05-21 06:00:00,2026-05-21 18:00:00
5372,294,10,2026-06-15 10:00:00,2026-06-15 20:00:00
566,138,3,2026-04-15 08:00:00,2026-04-15 20:00:00
2124,17,4,2026-06-11 10:00:00,2026-06-11 22:00:00
4059,215,2,2026-04-19 10:00:00,2026-04-19 20:00:00
3775,59,10,2026-04-18 06:00:00,2026-04-18 12:00:00
6247,151,9,2026-04-04 09:00:00,2026-04-04 21:00:00
3404,263,4,2026-06-09 06:00:00,2026-06-09 16:00:00
4272,296,7,2026-05-05 10:00:00,2026-05-05 20:00:00
5769,126,5,2026-05-09 08:00:00,2026-05-09 20:00:00
6786,163,8,2026-04-19 09:00:00,2026-04-19 19:00:00
6673,244,6,2026-06-03 08:00:00,2026-06-03 18:00:00
2757,227,4,2026-04-28 10:00:00,2026-04-28 18:00:00
129,93,10,2026-04-08 09:00:00,2026-04-08 21:00:00
203,167,6,2026-06-01 09:00:00,2026-06-01 19:00:00
1541,221,1,2026-05-30 10:00:00,2026-05-30 22:00:00
6648,82,7,2026-05-02 09:00:00,2026-05-02 21:00:00
4,105,9,2026-04-25 06:00:00,2026-04-25 12:00:00
3773,214,9,2026-06-09 06:00:00,2026-06-09 14:00:00
6683,300,4,2026-04-28 08:00:00,2026-04-28 14:00:00
2217,95,9,2026-06-26 09:00:00,2026-06-26 15:00:00
1701,174,5,2026-05-05 07:00:00,2026-05-05 15:00:00
4126,291,2,2026-06-04 07:00:00,2026-06-04 17:00:00
1101,17,2,2026-06-12 06:00:00,2026-06-12 14:00:00
6818,13,1,2026-04-17 06:00:00,2026-04-17 18:00:00
6538,211,8,2026-05-25 07:00:00,2026-05-25 19:00:00
5400,279,7,2026-06-11 09:00:00,2026-06-11 17:00:00
5942,188,3,2026-06-07 06:00:00,2026-06-07 14:00:00
1528,226,3,2026-04-05 09:00:00,2026-04-05 17:00:00
496,79,6,2026-05-20 09:00:00,2026-05-20 19:00:00
2525,131,2,2026-04-20 09:00:00,2026-04-20 15:00:00
3981,114,1,2026-04-04 06:00:00,2026-04-04 14:00:00
3226,16,1,2026-05-03 07:00:00,2026-05-03 19:00:00
1716,169,7,2026-06-08 10:00:00,2026-06-08 18:00:00
4743,70,3,2026-05-16 10:00:00,2026-05-16 18:00:00
3754,242,7,2026-04-04 09:00:00,2026-04-04 19:00:00
4692,13,10,2026-06-04 06:00:00,2026-06-04 18:00:00
1177,252,3,2026-06-10 09:00:00,2026-06-10 21:00:00
2620,139,6,2026-05-12 08:00:00,2026-05-12 16:00:00
4937,55,5,2026-05-30 09:00:00,2026-05-30 15:00:00
318,37,3,2026-05-14 07:00:00,2026-05-14 15:00:00
585,285,4,2026-06-27 09:00:00,2026-06-27 17:00:00
2726,159,8,2026-05-07 09:00:00,2026-05-07 19:00:00
4931,256,4,2026-06-18 09:00:00,2026-06-18 15:00:00
662,293,5,2026-06-24 08:00:00,2026-06-24 14:00:00
2489,14,8,2026-04-05 06:00:00,2026-04-05 18:00:00
2532,121,4,2026-04-23 07:00:00,2026-04-23 13:00:00
2058,46,6,2026-06-01 09:00:00,2026-06-01 19:00:00
1608,15,9,2026-04-17 09:00:00,2026-04-17 15:00:00
1758,151,5,2026-05-29 06:00:00,2026-05-29 18:00:00
4429,141,9,2026-04-19 07:00:00,2026-04-19 15:00:00
6245,205,4,2026-04-12 06:00:00,2026-04-12 14:00:00
1273,293,3,2026-06-02 08:00:00,2026-06-02 14:00:00
5589,65,3,2026-04-22 06:00:00,2026-04-22 14:00:00
1874,112,9,2026-04-27 10:00:00,2026-04-27 22:00:00
2742,181,6,2026-06-03 07:00:00,2026-06-03 17:00:00
6609,174,7,2026-04-26 09:00:00,2026-04-26 15:00:00
1443,144,9,2026-05-04 10:00:00,2026-05-04 20:00:00
6594,176,8,2026-06-05 10:00:00,2026-06-05 16:00:00
337,53,9,2026-06-19 09:00:00,2026-06-19 17:00:00
1765,97,8,2026-04-04 06:00:00,2026-04-04 18:00:00
6650,20,6,2026-04-27 10:00:00,2026-04-27 20:00:00
995,185,8,2026-05-01 06:00:00,2026-05-01 16:00:00
2645,237,7,2026-06-13 10:00:00,2026-06-13 20:00:00
2047,283,9,2026-05-17 10:00:00,2026-05-17 18:00:00
850,196,6,2026-06-14 07:00:00,2026-06-14 13:00:00
6665,273,2,2026-05-21 06:00:00,2026-05-21 16:00:00
7001,276,5,2026-04-26 08:00:00,2026-04-26 14:00:00
7002,251,5,2026-06-04 08:00:00,2026-06-04 20:00:00
7003,95,4,2026-05-29 08:00:00,2026-05-29 16:00:00
7004,124,8,2026-04-20 07:00:00,2026-04-20 13:00:00
7005,41,5,2026-05-24 09:00:00,2026-05-24 17:00:00
7006,24,4,2026-05-09 10:00:00,2026-05-09 22:00:00
7007,45,6,2026-04-22 09:00:00,2026-04-22 19:00:00
7008,13,4,2026-05-26 10:00:00,2026-05-26 20:00:00
7009,26,3,2026-04-07 08:00:00,2026-04-07 20:00:00
7010,230,6,2026-05-03 10:00:00,2026-05-03 22:00:00
7011,69,8,2026-04-18 10:00:00,2026-04-18 22:00:00
7012,9,9,2026-06-01 09:00:00,2026-06-01 17:00:00
7013,224,3,2026-06-12 07:00:00,2026-06-12 15:00:00
7014,21,4,2026-04-04 07:00:00,2026-04-04 15:00:00
7015,175,7,2026-05-25 06:00:00,2026-05-25 14:00:00
7016,224,1,2026-05-05 06:00:00,2026-05-05 18:00:00
7017,192,9,2026-06-12 10:00:00,2026-06-12 16:00:00
7018,91,6,2026-05-05 09:00:00,2026-05-05 15:00:00
7019,122,1,2026-04-12 07:00:00,2026-04-12 19:00:00
7020,99,10,2026-04-01 07:00:00,2026-04-01 19:00:00
7021,222,10,2026-06-22 10:00:00,2026-06-22 16:00:00
7022,121,10,2026-05-13 07:00:00,2026-05-13 13:00:00
7023,53,1,2026-06-12 10:00:00,2026-06-12 18:00:00
7024,229,7,2026-05-19 10:00:00,2026-05-19 20:00:00
